week,Extracted
0,967717
1,15488
2,19311
3,15007
4,42548
5,8771
6,8180
7,6641
8,6902
9,165365
10,16744
11,136481
12,16044
15,8691
16,18130
17,53541
18,22615
19,2598
21,3355
22,17517
23,6467
26,1249734
27,4419
28,6328
29,6759
31,1433
32,12886
33,1583
34,1583
35,3115
