week,Extracted
5,836277
6,846831
7,856266
8,862269
9,871449
10,878757
11,884190
12,890535
13,895347
15,901050
16,903132
17,906237
18,910047
19,432810
20,915438
23,455769
24,310052
25,311069
26,1492830
28,315126
29,316642
30,317952
32,321163
33,322398
34,323419
35,325170
