week,Extracted
1,29772
2,11506
3,13474
4,20444
5,87536
6,21574
7,18946
8,5500
9,863
10,18634
11,7387
12,4347
13,0
15,17505
16,256064
17,5298
18,21734
19,4097
20,4647
21,263
22,1567
23,1523
24,2856
25,256601
26,767980
27,8998
29,2306
30,2288
31,2586
32,854
33,2050
34,4719
35,37394
36,1238
