week,Extracted
1,117475
2,7596
3,13650
4,26914
5,201752
7,5649
8,5792
9,321645
11,3718
12,7484
13,4030
14,227370
15,15460
16,996800
17,94268
18,97277
19,3088
21,3129
22,641294
24,6282
25,177570
26,37890
27,2857
28,62175
29,16689
30,5378
32,122339
33,131045
35,267
36,2384
