"DayOfWeek","DayOfYear","Records Affected","Timestamp","WeekNbr"
6,17,1,2020-01-18T03:25:51.000Z,2
6,17,94,2020-01-18T03:25:51.000Z,2
6,17,1,2020-01-18T03:31:47.000Z,2
6,17,1,2020-01-18T03:41:12.000Z,2
6,17,1,2020-01-18T03:51:02.000Z,2
6,17,1,2020-01-18T03:50:20.000Z,2
6,17,3,2020-01-18T03:50:29.000Z,2
6,17,1,2020-01-18T04:03:19.000Z,2
6,17,1,2020-01-18T04:11:58.000Z,2
6,17,1,2020-01-18T04:22:23.000Z,2
6,17,1,2020-01-18T04:28:06.000Z,2
6,17,43,2020-01-18T04:28:09.000Z,2
6,17,1,2020-01-18T04:28:09.000Z,2
6,17,43,2020-01-18T04:28:09.000Z,2
6,17,1,2020-01-18T04:32:14.000Z,2
6,17,null,2020-01-18T04:31:21.000Z,2
6,17,1,2020-01-18T04:31:22.000Z,2
6,17,24,2020-01-18T04:31:26.000Z,2
6,17,1,2020-01-18T04:31:26.000Z,2
6,17,24,2020-01-18T04:31:26.000Z,2
6,17,1,2020-01-18T04:36:06.000Z,2
6,17,0,2020-01-18T04:36:07.000Z,2
6,17,1,2020-01-18T04:36:07.000Z,2
6,17,1,2020-01-18T04:39:06.000Z,2
6,17,1,2020-01-18T04:39:07.000Z,2
6,17,1,2020-01-18T04:41:18.000Z,2
6,17,1,2020-01-18T04:51:38.000Z,2
6,17,1,2020-01-18T04:50:21.000Z,2
6,17,4,2020-01-18T04:50:34.000Z,2
6,17,1,2020-01-18T04:53:19.000Z,2
6,17,43,2020-01-18T04:55:14.000Z,2
6,17,1,2020-01-18T04:55:14.000Z,2
6,17,43,2020-01-18T04:55:14.000Z,2
6,17,1,2020-01-18T05:01:48.000Z,2
6,17,1,2020-01-18T05:01:15.000Z,2
6,17,1,2020-01-18T05:01:15.000Z,2
6,17,1,2020-01-18T05:10:57.000Z,2
6,17,1,2020-01-18T05:20:54.000Z,2
6,17,1,2020-01-18T05:31:35.000Z,2
6,17,1,2020-01-18T05:41:13.000Z,2
6,17,1,2020-01-18T05:51:18.000Z,2
7,18,1,2020-01-18T06:02:36.000Z,2
7,18,1,2020-01-18T06:10:44.000Z,2
7,18,null,2020-01-18T08:02:07.000Z,2
7,18,1,2020-01-18T08:06:07.000Z,2
7,18,1,2020-01-18T08:43:16.000Z,2
7,18,1,2020-01-18T09:13:12.000Z,2
7,18,1,2020-01-18T09:43:13.000Z,2
7,18,1,2020-01-18T10:13:14.000Z,2
7,18,1,2020-01-18T10:28:06.000Z,2
7,18,0,2020-01-18T10:28:09.000Z,2
7,18,1,2020-01-18T10:28:09.000Z,2
7,18,1,2020-01-18T10:31:21.000Z,2
7,18,0,2020-01-18T10:31:22.000Z,2
7,18,1,2020-01-18T10:31:22.000Z,2
7,18,1,2020-01-18T10:36:06.000Z,2
7,18,1,2020-01-18T10:36:06.000Z,2
7,18,1,2020-01-18T10:39:06.000Z,2
7,18,1,2020-01-18T10:39:06.000Z,2
7,18,1,2020-01-18T10:43:13.000Z,2
7,18,1,2020-01-18T11:01:14.000Z,2
7,18,0,2020-01-18T11:01:15.000Z,2
7,18,1,2020-01-18T11:01:15.000Z,2
7,18,1,2020-01-18T11:13:02.000Z,2
7,18,1,2020-01-18T11:43:13.000Z,2
7,18,1,2020-01-18T12:13:12.000Z,2
7,18,1,2020-01-18T12:43:12.000Z,2
7,18,1,2020-01-18T13:02:37.000Z,2
7,18,12,2020-01-18T13:02:46.000Z,2
7,18,1,2020-01-18T13:13:13.000Z,2
7,18,1,2020-01-18T13:43:02.000Z,2
7,18,1,2020-01-18T13:53:19.000Z,2
7,18,395,2020-01-18T13:55:08.000Z,2
7,18,1,2020-01-18T13:55:08.000Z,2
7,18,395,2020-01-18T13:55:08.000Z,2
7,18,1,2020-01-18T14:13:12.000Z,2
7,18,1,2020-01-18T14:43:12.000Z,2
7,18,1,2020-01-18T14:50:17.000Z,2
7,18,17,2020-01-18T14:50:25.000Z,2
7,18,1,2020-01-18T15:13:13.000Z,2
7,18,1,2020-01-18T15:23:18.000Z,2
7,18,554,2020-01-18T15:25:04.000Z,2
7,18,1,2020-01-18T15:25:04.000Z,2
7,18,554,2020-01-18T15:25:04.000Z,2
7,18,1,2020-01-18T15:43:12.000Z,2
7,18,1,2020-01-18T15:50:16.000Z,2
7,18,16,2020-01-18T15:50:25.000Z,2
7,18,1,2020-01-18T16:13:10.000Z,2
7,18,1,2020-01-18T16:28:06.000Z,2
7,18,1,2020-01-18T16:28:08.000Z,2
7,18,1,2020-01-18T16:31:20.000Z,2
7,18,0,2020-01-18T16:31:22.000Z,2
7,18,1,2020-01-18T16:31:22.000Z,2
7,18,1,2020-01-18T16:36:06.000Z,2
7,18,1,2020-01-18T16:36:07.000Z,2
7,18,1,2020-01-18T16:39:06.000Z,2
7,18,1,2020-01-18T16:39:06.000Z,2
7,18,1,2020-01-18T16:43:14.000Z,2
7,18,1,2020-01-18T16:50:17.000Z,2
7,18,22,2020-01-18T16:50:26.000Z,2
7,18,1,2020-01-18T16:53:18.000Z,2
7,18,606,2020-01-18T16:55:08.000Z,2
7,18,1,2020-01-18T16:55:08.000Z,2
7,18,606,2020-01-18T16:55:08.000Z,2
