week,Extracted
5,557474
6,846849
7,856272
8,862254
9,869238
11,881592
12,888138
13,893118
15,898371
16,900747
17,903690
18,907020
19,1820646
20,912951
21,1831848
23,454659
24,309131
25,310180
27,312708
28,314060
29,315638
30,317172
32,320269
33,321381
34,322566
35,324163
